State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
Wisconsin,111,415,0,0,0,246,108,41,216,89,18,179,99,8,12,3,3,2,0
New Hampshire,74,408,0,0,0,298,112,50,201,100,17,214,88,9,9,4,2,2,1
Tennessee,105,510,0,0,0,119,82,20,185,111,15,157,74,7,10,4,2,2,0
New York,40,408,0,0,0,242,82,41,232,97,19,154,86,6,9,7,2,0,0
Georgia,128,408,1,1,18,222,89,37,160,109,13,218,102,9,13,2,3,0,1
Minnesota,123,408,0,0,0,236,135,40,273,88,23,227,77,10,10,6,2,2,1
Michigan,122,510,0,0,0,144,87,24,212,74,18,169,87,7,9,4,2,0,0
Idaho,114,408,0,1,19,154,100,26,241,109,20,160,112,7,12,1,3,3,0
Connecticut,102,415,0,1,25,137,100,23,176,83,15,188,93,8,10,6,2,2,0
North Carolina,126,415,0,0,0,103,93,17,127,107,10,329,66,14,14,1,3,0,0
Louisiana,150,415,0,0,0,136,112,23,209,81,17,161,78,7,12,2,3,4,1
New Jersey,60,408,0,0,0,289,101,49,255,115,21,242,76,10,11,4,3,2,1
California,138,510,1,0,0,196,129,33,176,86,15,232,108,10,15,1,4,0,1
Maryland,29,510,0,0,0,195,71,33,126,74,10,148,87,6,14,4,3,1,0
Wyoming,111,415,0,0,0,222,96,37,162,111,13,184,120,8,11,7,3,4,0
Texas,37,510,1,0,0,172,119,29,183,86,15,226,100,10,9,1,2,0,1
Utah,81,510,0,0,0,154,84,26,216,91,18,229,82,10,13,3,3,1,0
Washington,46,510,0,0,0,90,108,15,276,77,23,146,111,6,12,2,3,1,0
Ohio,125,408,0,0,0,106,95,18,157,113,13,192,69,8,8,3,2,1,0
Indiana,94,510,0,0,0,245,112,41,180,91,15,262,105,11,9,6,2,1,0
Vermont,46,408,0,0,0,196,85,33,205,74,17,216,112,9,11,5,3,3,0
Montana,73,408,0,1,26,131,98,22,106,97,9,221,96,9,10,6,2,2,0
Connecticut,146,408,0,1,23,149,96,25,239,124,20,293,135,13,7,4,2,2,0
New Mexico,93,415,0,0,0,239,70,40,251,99,21,168,112,7,10,10,2,1,0
Ohio,52,408,0,1,31,142,77,24,193,97,16,253,88,11,11,4,2,1,0
Georgia,202,510,0,0,0,115,137,19,178,70,15,185,113,8,6,3,1,3,0
Minnesota,129,510,0,1,31,193,99,32,224,87,19,197,91,8,10,8,2,2,0
Connecticut,94,415,0,0,0,206,49,35,224,115,19,256,74,11,13,1,3,1,0
Alabama,100,415,0,0,0,160,138,27,221,92,18,150,120,6,11,2,3,0,0
West Virginia,43,415,0,0,0,199,108,33,288,80,24,180,103,8,11,7,3,1,0
New Hampshire,130,415,0,0,0,213,105,36,206,108,17,163,93,7,8,3,2,0,0
Wyoming,124,415,0,0,0,178,102,30,235,120,19,239,119,10,10,1,2,3,0
Virginia,92,510,1,0,0,252,120,42,207,112,17,284,95,12,12,5,3,3,1
Vermont,48,415,0,0,0,197,64,33,136,126,11,244,81,11,13,5,3,4,0
Ohio,98,510,0,1,29,111,105,18,217,101,18,248,108,11,6,3,1,2,0
Montana,100,415,0,0,0,96,86,16,210,133,17,146,106,6,12,3,3,1,1
Massachusetts,79,415,0,0,0,156,109,26,122,87,10,189,103,8,11,5,3,3,0
Virginia,164,415,0,0,0,123,78,20,170,85,14,165,78,7,12,2,3,1,0
Arkansas,89,408,1,0,0,206,134,35,167,105,14,155,86,7,10,4,2,0,0
Nebraska,126,415,0,0,0,249,96,42,261,92,22,166,108,7,12,4,3,3,1
Wyoming,96,408,0,0,0,144,102,24,224,73,19,227,91,10,10,7,2,1,0
Iowa,120,415,0,1,33,299,83,50,163,84,13,146,88,6,11,5,3,0,0
North Carolina,72,415,0,0,0,137,106,23,143,94,12,273,110,12,9,6,2,2,0
Hawaii,155,415,1,1,26,211,121,35,139,123,11,146,89,6,11,3,3,1,0
Utah,89,415,0,0,0,89,80,15,179,81,15,145,120,6,9,4,2,2,0
Wyoming,126,408,1,0,0,197,126,33,246,112,20,285,104,12,12,8,3,2,0
Alabama,172,408,0,0,0,270,102,45,256,111,21,168,104,7,12,5,3,2,1
Wisconsin,143,510,0,0,0,194,99,33,123,133,10,229,99,10,10,2,2,2,0
Florida,166,510,1,0,0,47,89,8,264,95,22,235,97,10,13,3,3,0,1
Kansas,132,415,0,0,0,190,105,32,182,116,15,279,105,12,13,2,3,1,0
New York,99,415,0,0,0,182,83,31,154,111,13,196,57,8,12,5,3,0,0
Virginia,136,415,0,1,35,205,86,34,298,119,25,214,104,9,6,4,1,1,0
Kansas,119,415,0,0,0,231,82,39,266,97,22,211,118,9,7,10,2,1,0
North Carolina,115,510,1,0,0,251,69,42,252,96,21,118,112,5,9,1,2,3,1
Missouri,160,415,0,0,0,171,103,29,243,121,20,178,92,8,13,3,3,2,0
North Dakota,166,510,0,0,0,197,89,33,251,113,21,138,85,6,11,2,3,2,0
California,120,510,0,0,0,134,94,22,204,106,17,238,109,10,6,8,1,1,0
West Virginia,173,415,0,0,0,191,114,32,168,138,14,109,99,4,10,3,2,1,0
Illinois,156,415,0,0,0,174,65,29,197,116,16,238,86,10,10,2,2,0,0
New York,70,415,0,0,0,177,125,30,226,104,19,254,72,11,10,4,2,0,0
Nevada,41,510,0,0,0,182,89,30,211,104,17,207,124,9,6,1,1,1,0
Alabama,132,408,0,0,0,222,85,37,165,76,14,208,97,9,11,4,3,0,0
Kansas,47,510,1,0,0,47,120,8,178,123,15,152,96,6,13,7,3,0,1
North Dakota,160,510,0,0,0,121,97,20,89,97,7,150,92,6,10,5,2,1,0
Oklahoma,180,415,0,0,0,143,121,24,189,111,16,174,82,7,8,5,2,3,0
Utah,93,415,0,0,0,164,68,28,210,86,17,229,104,10,7,4,2,2,0
Ohio,109,415,0,0,0,193,58,32,148,115,12,282,105,12,13,1,3,2,0
Wyoming,80,510,0,0,0,101,121,17,263,110,22,137,74,6,7,5,1,0,0
New Mexico,54,415,0,1,24,92,88,15,193,98,16,99,119,4,11,3,3,2,0
Alabama,121,415,0,0,0,168,128,28,123,99,10,266,105,11,2,7,0,2,0
District of Columbia,157,510,0,1,29,219,102,37,206,109,17,192,117,8,15,5,4,1,0
Idaho,170,510,0,1,37,178,130,30,242,103,20,243,93,10,13,4,3,0,0
Arkansas,138,510,0,0,0,146,101,24,284,142,24,176,98,7,14,6,3,3,0
Idaho,92,415,0,1,31,172,116,29,266,91,22,228,90,10,11,5,3,1,0
Washington,167,415,0,0,0,169,124,28,173,108,14,216,64,9,12,4,3,4,1
Utah,91,510,0,0,0,123,107,21,319,125,27,237,78,10,7,4,1,2,0
Rhode Island,127,510,0,0,0,96,117,16,177,68,15,162,127,7,9,4,2,3,0
North Carolina,88,408,0,1,27,93,106,15,252,92,21,189,104,8,10,1,2,1,0
Texas,123,408,0,0,0,257,92,43,211,71,17,189,104,8,9,2,2,2,0
Delaware,136,408,1,1,29,85,98,14,230,85,19,243,104,10,9,3,2,2,0
Mississippi,68,415,0,1,34,160,72,27,184,119,15,208,101,9,6,10,1,1,0
Ohio,132,415,0,1,10,182,54,31,292,68,24,142,116,6,11,4,3,0,0
Louisiana,133,415,0,0,0,216,67,36,222,133,18,192,95,8,3,1,0,2,0
Florida,127,415,0,0,0,261,105,44,181,107,15,100,131,4,3,5,0,0,0
West Virginia,121,510,0,0,0,177,142,30,123,88,10,213,51,9,8,6,2,1,0
New York,116,510,0,0,0,89,128,15,180,137,15,193,94,8,14,3,3,2,0
Pennsylvania,97,510,1,0,0,145,103,24,294,93,25,239,120,10,11,2,2,4,1
Mississippi,43,510,0,0,0,159,99,27,119,149,10,173,126,7,6,3,1,2,0
Indiana,110,415,0,0,0,151,106,25,138,126,11,233,112,10,11,8,3,3,0
Virginia,67,408,0,0,0,176,120,29,236,138,20,152,104,6,10,4,2,1,0
Minnesota,166,408,0,0,0,152,95,25,121,105,10,198,126,8,9,5,2,0,0
Delaware,129,408,0,0,0,161,122,27,220,95,18,224,104,10,9,3,2,1,0
Oregon,103,510,1,0,0,171,78,29,144,86,12,157,106,7,6,3,1,3,0
Utah,71,415,0,0,0,278,110,47,190,67,16,255,84,11,11,7,3,0,1
Connecticut,112,415,0,1,27,213,121,36,226,101,19,189,99,8,11,3,3,4,0
Alabama,8,415,0,1,36,242,67,41,170,59,14,177,130,7,4,12,1,1,0
Texas,98,415,0,0,0,217,121,36,303,73,25,197,71,8,12,2,3,0,1
Connecticut,90,415,0,0,0,175,111,29,285,115,24,150,122,6,13,7,3,1,0
Mississippi,13,415,0,0,0,303,133,51,170,86,14,227,80,10,11,3,3,0,1
Arkansas,58,415,0,0,0,238,107,40,187,88,15,181,84,8,11,3,3,2,0
California,137,415,0,1,22,189,42,32,179,137,15,179,126,8,11,5,3,2,0
Michigan,116,408,0,0,0,133,94,22,247,126,21,219,78,9,11,5,3,5,1
West Virginia,94,415,0,1,28,92,107,15,127,86,10,225,86,10,9,4,2,3,0
Delaware,87,415,0,0,0,177,72,30,248,105,21,200,87,9,8,7,2,3,0
Florida,120,415,0,0,0,184,103,31,209,86,17,169,70,7,10,6,2,2,0
Alaska,97,415,0,1,24,176,109,29,159,81,13,269,94,12,12,9,3,0,0
Idaho,134,415,0,0,0,204,108,34,143,105,12,165,84,7,11,4,2,6,0
Ohio,68,510,0,0,0,143,80,24,134,65,11,215,84,9,15,5,4,2,0
New Hampshire,93,408,0,0,0,179,93,30,188,65,16,253,88,11,12,5,3,1,0
Massachusetts,120,415,0,0,0,137,100,23,212,129,18,152,92,6,10,2,2,1,0
Oregon,80,510,0,0,0,203,92,34,216,97,18,154,66,6,7,5,2,2,0
Ohio,83,415,0,1,25,191,95,32,250,136,21,249,86,11,17,5,4,2,0
North Carolina,109,510,1,0,0,209,141,35,205,93,17,119,111,5,7,3,2,2,0
Kentucky,66,510,0,1,33,88,104,15,109,94,9,172,107,7,7,9,1,3,0
Washington,89,510,0,0,0,137,96,23,192,63,16,255,125,11,11,5,2,1,0
Rhode Island,117,408,0,1,13,207,65,35,152,77,12,232,95,10,9,3,2,1,0
Kansas,128,510,0,0,0,268,95,45,120,126,10,220,121,9,14,6,3,2,0
Nevada,88,415,0,0,0,166,61,28,179,88,15,242,131,10,6,7,1,4,1
Florida,22,415,0,0,0,181,108,30,198,148,16,206,96,9,9,3,2,2,0
Wyoming,78,415,0,0,0,147,80,25,199,100,16,160,106,7,13,7,3,0,0
Washington,56,415,0,1,29,37,115,6,144,111,12,226,101,10,4,3,1,1,0
Colorado,192,415,0,0,0,185,88,31,224,98,19,212,105,9,11,3,3,2,0
Wisconsin,70,415,0,0,0,156,108,26,171,116,14,196,96,8,8,4,2,2,0
Kansas,148,510,0,0,0,239,84,40,195,85,16,232,104,10,10,3,2,1,0
Montana,119,510,0,0,0,134,70,22,211,74,17,188,105,8,11,6,3,1,0
Colorado,80,415,0,0,0,194,116,33,209,93,17,194,100,8,12,3,3,0,0
Florida,113,510,0,0,0,92,85,15,177,92,15,159,72,7,14,4,3,3,0
Vermont,75,510,0,0,0,209,133,35,211,121,17,291,123,13,7,4,1,1,0
Ohio,80,415,0,0,0,197,83,33,164,86,13,94,98,4,6,6,1,1,0
Florida,97,415,0,1,28,202,97,34,69,84,5,257,64,11,6,3,1,1,0
Maryland,166,415,0,0,0,136,116,23,181,93,15,131,108,5,11,4,3,0,0
Wyoming,94,408,0,0,0,207,109,35,167,80,14,238,117,10,2,6,0,1,0
Florida,85,408,0,1,33,207,95,35,233,88,19,221,92,9,13,3,3,1,0
Tennessee,80,415,1,0,0,276,122,47,195,79,16,210,78,9,7,3,1,1,1
Indiana,88,415,1,1,25,288,114,49,203,74,17,228,117,10,13,5,3,1,0
West Virginia,154,408,0,1,35,64,76,11,184,91,15,151,75,6,14,1,3,1,0
Utah,32,510,0,1,26,243,137,41,236,108,20,173,149,7,9,9,2,1,0
Georgia,18,408,0,0,0,197,97,33,203,107,17,202,105,9,8,3,2,3,0
Alaska,126,415,0,1,31,278,88,47,253,65,21,223,114,10,8,4,2,0,0
Utah,144,510,0,1,37,219,102,37,222,77,18,118,111,5,10,4,2,1,0
Arkansas,86,408,0,1,16,145,88,24,191,129,16,215,82,9,11,7,3,0,0
Alaska,138,415,0,1,37,75,102,12,173,147,14,162,96,7,8,13,2,0,0
Alaska,146,415,0,0,0,195,86,33,228,82,19,303,94,13,12,4,3,3,0
West Virginia,74,510,0,0,0,124,102,21,262,101,22,268,98,12,11,2,3,2,0
Connecticut,48,415,0,0,0,171,98,29,159,127,13,139,101,6,7,3,2,2,0
Georgia,74,510,0,1,31,249,70,42,209,59,17,180,75,8,9,2,2,4,0
Nevada,105,415,1,0,0,228,100,38,145,108,12,245,140,11,7,7,2,0,0
Vermont,157,510,0,0,0,168,71,28,205,48,17,175,88,7,5,2,1,3,0
Tennessee,68,415,0,0,0,178,61,30,252,84,21,255,76,11,8,4,2,1,0
Oregon,80,415,0,0,0,113,86,19,185,97,15,237,145,10,9,5,2,1,0
Mississippi,38,415,0,1,25,142,106,24,313,109,26,126,117,5,13,6,3,2,0
North Carolina,107,415,0,1,38,204,57,34,205,92,17,286,80,12,8,4,2,0,0
Colorado,140,415,0,0,0,149,71,25,212,97,18,245,67,11,12,4,3,3,0
Arkansas,98,415,0,0,0,227,116,38,120,103,10,117,102,5,4,4,1,5,1
Pennsylvania,114,415,0,0,0,155,75,26,169,87,14,207,133,9,12,5,3,2,0
Minnesota,46,408,0,0,0,156,105,26,185,98,15,226,96,10,11,3,3,1,0
New Mexico,118,415,0,1,42,148,105,25,167,105,14,270,105,12,10,7,2,0,0
Utah,37,510,0,0,0,271,112,46,155,96,13,199,97,8,6,4,1,3,0
Nevada,113,510,0,0,0,245,108,41,259,140,22,204,115,9,10,2,2,3,1
Oregon,69,408,0,0,0,196,87,33,236,66,20,182,75,8,11,1,3,0,0
New Jersey,59,510,1,1,31,225,78,38,191,79,16,226,79,10,9,3,2,1,0
West Virginia,59,510,0,0,0,189,100,32,115,133,9,220,115,9,7,4,2,0,0
Oregon,190,415,0,0,0,142,96,24,177,96,15,113,117,5,6,4,1,0,0
Kentucky,109,415,0,0,0,175,80,29,238,94,20,198,103,8,10,6,2,1,0
Missouri,136,415,0,0,0,92,109,15,219,115,18,212,80,9,12,4,3,2,0
Texas,86,510,0,0,0,92,92,15,159,87,13,148,115,6,8,5,2,1,0
Minnesota,100,415,0,1,27,221,100,37,236,70,20,192,91,8,8,4,2,0,0
Florida,106,510,0,0,0,159,94,27,276,118,23,223,65,10,8,3,2,0,0
West Virginia,129,415,0,0,0,159,100,27,202,90,17,233,96,10,11,6,3,2,0
Indiana,205,510,0,0,0,49,123,8,150,81,12,188,67,8,10,4,2,2,0
Oklahoma,93,415,0,1,32,116,120,19,232,97,19,127,112,5,11,9,2,0,0
Delaware,99,415,0,0,0,254,120,43,159,92,13,264,94,11,6,5,1,1,0
Illinois,71,415,0,0,0,207,112,35,173,96,14,178,61,8,12,3,3,1,0
Utah,4,510,1,0,0,145,89,24,303,93,25,206,82,9,8,4,2,0,0
Illinois,148,408,0,1,25,230,102,39,233,109,19,215,90,9,13,2,3,3,0
Washington,141,415,0,0,0,151,104,25,242,114,20,304,109,13,10,2,2,1,0
New Mexico,56,408,0,0,0,146,57,24,196,97,16,310,110,13,9,3,2,0,0
Virginia,43,408,0,1,35,200,105,34,244,88,20,207,97,9,11,4,3,3,0
Montana,42,415,0,0,0,150,52,25,246,96,20,103,118,4,7,4,1,2,0
Connecticut,135,415,1,0,0,186,107,31,66,94,5,213,105,9,12,4,3,1,0
Alabama,106,415,0,0,0,212,110,36,187,69,15,128,71,5,6,3,1,3,0
West Virginia,106,510,0,0,0,194,133,33,213,73,18,190,92,8,11,7,3,0,0
Missouri,83,415,0,1,30,272,105,46,253,83,21,180,123,8,8,6,2,3,0
North Dakota,110,415,0,0,0,135,109,22,205,99,17,166,119,7,11,4,3,1,0
Georgia,109,510,0,1,35,230,116,39,265,130,22,269,69,12,10,6,2,5,0
Louisiana,124,510,0,0,0,143,120,24,230,111,19,214,91,9,7,2,2,4,1
Utah,110,415,0,0,0,271,108,46,237,122,20,239,122,10,9,5,2,2,1
Arizona,124,415,0,0,0,253,104,43,117,123,10,248,104,11,14,2,3,0,0
New York,82,415,0,0,0,167,77,28,131,79,11,187,98,8,9,1,2,6,1
Alabama,137,415,0,0,0,104,115,17,249,144,21,192,99,8,8,2,2,1,0
Indiana,69,510,0,0,0,135,101,23,238,124,20,195,102,8,10,2,2,1,0
New Mexico,16,510,0,0,0,144,84,24,164,141,14,231,75,10,8,4,2,2,0
Alabama,119,415,0,0,0,98,97,16,146,68,12,190,105,8,10,4,2,3,0
Minnesota,124,510,1,0,0,157,71,26,203,114,17,168,82,7,10,2,2,3,1
New York,122,415,0,1,37,163,107,27,312,118,26,200,85,9,11,5,3,1,0
Maryland,139,415,0,0,0,181,119,30,335,118,28,149,64,6,8,6,2,4,0
Kansas,67,510,0,0,0,129,78,21,188,116,15,235,102,10,11,3,3,2,0
West Virginia,84,408,0,0,0,86,83,14,260,86,22,98,109,4,8,4,2,1,0
Idaho,101,510,0,1,17,193,71,32,189,81,16,196,97,8,12,7,3,0,0
Louisiana,40,510,0,0,0,109,107,18,244,102,20,276,123,12,7,7,1,0,0
Michigan,61,415,0,0,0,188,105,32,153,116,13,213,106,9,10,2,2,2,0
Tennessee,120,408,1,0,0,179,72,30,170,98,14,190,89,8,13,2,3,1,1
California,95,415,0,0,0,183,98,31,281,95,23,105,113,4,8,8,2,1,0
Florida,98,408,0,0,0,288,101,48,137,93,11,206,88,9,0,0,0,0,0
Louisiana,114,415,0,0,0,169,96,28,149,83,12,196,119,8,4,4,1,2,0
Connecticut,22,408,0,0,0,207,116,35,210,99,17,238,88,10,9,5,2,0,0
Texas,152,415,0,0,0,141,102,24,263,94,22,207,113,9,3,4,0,2,0
Virginia,118,408,0,0,0,154,71,26,244,73,20,159,81,7,12,4,3,0,0
Missouri,101,415,1,0,0,133,51,22,219,96,18,210,74,9,11,4,3,1,0
North Dakota,118,408,0,0,0,224,94,38,225,120,19,269,105,12,12,8,3,2,0
Florida,105,415,0,0,0,273,97,46,289,106,24,269,126,12,5,3,1,2,1
Kentucky,71,415,0,0,0,104,92,17,197,125,16,110,123,4,14,8,3,0,0
Maryland,71,415,0,1,31,115,90,19,217,78,18,239,102,10,13,4,3,1,0
Indiana,68,415,0,0,0,222,107,37,199,102,16,162,107,7,9,3,2,2,0
Massachusetts,66,415,0,0,0,116,98,19,95,74,8,181,94,8,10,3,2,3,0
North Dakota,101,415,0,0,0,217,118,37,231,128,19,185,128,8,0,0,0,3,0
Vermont,116,415,0,0,0,129,84,22,157,89,13,215,77,9,13,3,3,0,0
Connecticut,54,415,0,1,33,161,73,27,273,58,23,153,76,6,13,4,3,0,0
Virginia,112,408,0,1,29,198,122,33,238,114,20,289,69,13,11,5,3,1,0
Mississippi,122,408,0,1,45,147,85,25,147,93,12,203,110,9,14,5,3,1,0
Alaska,74,415,0,0,0,262,114,44,198,96,16,165,90,7,6,5,1,3,0
Wyoming,90,415,0,0,0,246,83,41,160,88,13,170,99,7,7,7,2,1,0
New York,112,415,0,0,0,174,123,29,140,124,11,215,89,9,9,6,2,4,1
North Carolina,85,510,0,0,0,183,111,31,168,98,14,199,97,8,9,4,2,4,0
Illinois,100,415,0,0,0,191,95,32,200,101,17,271,74,12,18,3,4,1,0
Ohio,114,415,0,0,0,187,109,31,154,97,13,213,102,9,10,3,2,2,0
Rhode Island,83,510,0,0,0,259,106,44,152,116,12,224,92,10,10,2,2,0,0
Wyoming,157,415,1,0,0,180,123,30,194,98,16,227,88,10,8,5,2,0,0
Oregon,51,510,0,0,0,51,107,8,230,104,19,227,118,10,10,4,2,2,0
Nevada,42,415,0,0,0,303,106,51,232,54,19,147,76,6,5,3,1,1,1
North Dakota,101,415,0,1,36,123,125,21,172,106,14,280,127,12,8,4,2,1,1
Oregon,112,510,0,0,0,206,122,35,164,94,13,140,101,6,12,7,3,3,0
North Dakota,56,510,0,0,0,164,92,27,233,107,19,187,104,8,11,1,3,2,0
New Jersey,53,408,0,0,0,228,117,38,132,123,11,227,124,10,10,2,2,9,1
West Virginia,64,415,0,1,22,200,80,34,131,84,11,230,67,10,7,5,2,1,0
Idaho,68,510,0,1,30,122,93,20,233,91,19,199,144,8,9,2,2,2,0
Connecticut,40,510,1,0,0,220,100,37,265,106,22,212,94,9,6,3,1,0,0
New Mexico,132,408,0,0,0,214,78,36,251,98,21,240,88,10,13,2,3,0,0
Connecticut,120,408,1,0,0,202,123,34,184,78,15,176,89,7,7,2,2,2,1
Michigan,108,408,0,1,32,209,108,35,109,64,9,189,145,8,9,6,2,6,1
South Carolina,161,510,0,0,0,297,141,50,238,107,20,240,93,10,8,5,2,1,1
South Carolina,130,415,0,0,0,212,102,36,189,137,16,170,105,7,10,4,2,0,1
Montana,130,408,0,1,19,152,87,25,213,99,18,205,114,9,10,6,2,2,0
Wyoming,90,510,0,0,0,125,158,21,269,83,22,238,103,10,11,7,2,1,0
Nebraska,139,415,0,1,25,138,96,23,80,79,6,163,83,7,8,8,2,0,0
Indiana,57,415,0,0,0,189,157,32,174,70,14,221,117,9,11,5,3,3,0
Colorado,128,510,0,0,0,199,86,33,194,102,16,298,82,13,14,2,3,4,0
Maryland,107,415,0,0,0,294,71,50,192,78,16,148,87,6,13,5,3,1,1
Oklahoma,177,408,0,0,0,175,99,29,155,83,13,179,86,8,11,3,3,1,0
South Dakota,121,415,0,0,0,179,70,30,143,93,12,116,113,5,11,5,3,1,0
South Carolina,99,510,1,1,39,126,94,21,293,115,24,174,91,7,8,4,2,0,0
New York,77,415,0,1,33,143,101,24,212,102,18,104,120,4,15,4,4,5,1
West Virginia,21,415,0,0,0,91,109,15,198,111,16,171,125,7,13,7,3,2,0
Washington,56,408,0,0,0,210,80,35,176,96,15,149,56,6,15,4,4,1,0
Idaho,92,415,0,1,29,201,130,34,203,115,17,129,113,5,6,6,1,1,1
Minnesota,81,510,0,0,0,145,59,24,287,131,24,181,121,8,9,4,2,2,0
Texas,139,510,1,1,31,203,82,34,200,72,17,214,112,9,13,6,3,1,1
Arizona,68,415,0,0,0,232,76,39,153,103,13,214,107,9,10,2,2,1,0
Delaware,183,415,0,1,8,86,119,14,285,97,24,180,133,8,8,2,2,2,0
Wisconsin,165,408,0,0,0,156,88,26,276,81,23,175,94,7,9,5,2,1,0
New Jersey,59,510,0,0,0,195,58,33,198,88,16,304,110,13,14,9,4,0,0
Illinois,16,415,1,0,0,110,91,18,147,75,12,190,73,8,6,7,1,0,0
District of Columbia,114,415,0,0,0,147,119,25,161,111,13,275,106,12,9,3,2,5,1
Iowa,113,510,0,0,0,156,141,26,256,72,21,175,123,7,11,5,3,2,0
Georgia,120,408,0,0,0,98,99,16,186,85,15,146,96,6,9,4,2,2,0
Alaska,115,415,0,0,0,210,120,35,153,84,13,262,79,11,11,5,2,0,0
Minnesota,100,415,1,0,0,159,94,27,179,95,15,154,102,6,11,2,3,2,1
South Carolina,1,408,0,0,0,123,113,21,236,77,20,73,81,3,3,2,1,0,0
Montana,97,415,0,1,15,117,97,19,196,126,16,157,113,7,6,3,1,1,0
Kentucky,55,415,0,1,28,105,82,17,197,109,16,187,91,8,8,6,2,2,0
West Virginia,75,415,0,0,0,111,121,18,237,119,20,253,110,11,13,6,3,1,0
Idaho,83,415,0,0,0,159,104,27,202,98,17,229,73,10,9,3,2,2,0
Minnesota,40,510,0,0,0,81,123,13,210,108,17,212,64,9,11,3,3,6,1
Massachusetts,101,415,0,1,21,238,88,40,209,84,17,233,95,10,10,5,2,2,0
Maryland,120,415,0,1,40,128,99,21,247,78,21,199,121,8,15,3,4,0,0
South Dakota,183,415,0,1,31,171,104,29,193,74,16,196,85,8,10,4,2,1,0
Pennsylvania,75,510,0,0,0,109,88,18,259,120,22,182,119,8,13,3,3,4,1
Kentucky,80,415,0,0,0,220,114,37,207,76,17,168,137,7,12,3,3,2,0
Idaho,88,415,0,0,0,55,65,9,242,121,20,176,134,7,11,4,3,0,0
New York,112,415,0,1,23,286,79,48,315,102,26,193,101,8,10,6,2,1,0
New Mexico,63,510,0,0,0,207,96,35,229,112,19,162,131,7,13,2,3,1,0
California,105,415,0,1,31,109,108,18,249,119,21,321,101,14,8,4,2,4,1
Wyoming,177,415,0,0,0,175,120,29,168,90,14,198,110,8,14,4,3,1,0
New Mexico,118,510,0,0,0,205,115,34,184,137,15,176,115,7,7,6,1,0,0
Idaho,82,510,0,1,34,232,121,39,153,115,13,286,77,12,4,3,1,3,0
North Carolina,74,415,0,0,0,102,89,17,149,100,12,188,114,8,11,5,2,0,0
Alabama,125,408,0,0,0,169,90,28,156,138,13,210,106,9,11,6,3,2,0
Virginia,138,415,0,0,0,251,119,42,91,96,7,142,87,6,13,3,3,3,0
Idaho,119,415,0,0,0,230,117,39,225,101,19,198,111,8,7,6,2,3,0
New York,137,510,0,0,0,109,120,18,230,86,19,255,103,11,11,6,3,1,0
North Carolina,182,415,0,0,0,279,118,47,203,113,17,174,101,7,10,4,2,2,1
Hawaii,134,415,0,1,38,214,93,36,211,57,17,165,79,7,10,8,2,1,0
District of Columbia,45,415,0,0,0,96,103,16,246,134,20,229,92,10,9,4,2,1,0
Louisiana,163,408,0,1,23,224,126,38,233,89,19,293,104,13,8,4,2,1,0
Hawaii,105,415,0,0,0,211,99,35,176,66,15,221,96,9,14,7,3,4,0
Florida,119,415,0,0,0,109,96,18,153,80,13,240,102,10,9,5,2,2,0
Wyoming,78,408,0,0,0,220,95,37,179,121,15,188,109,8,11,5,3,0,0
Oregon,125,408,0,1,32,96,109,16,145,109,12,174,82,7,9,2,2,1,0
Indiana,88,415,0,0,0,183,93,31,170,80,14,193,88,8,8,5,2,3,0
Maryland,83,408,0,1,38,107,90,18,140,94,11,253,79,11,10,2,2,0,0
Tennessee,3,510,1,0,0,161,96,27,244,82,20,180,103,8,7,6,2,1,0
Washington,48,510,0,0,0,149,146,25,161,109,13,197,109,8,8,2,2,3,0
Indiana,129,415,0,0,0,137,120,23,225,110,19,145,95,6,10,6,2,1,1
Colorado,66,408,0,1,40,141,87,24,268,89,22,241,68,10,8,7,2,0,0
Texas,80,510,0,1,22,196,115,33,150,109,12,176,75,7,9,1,2,0,0
West Virginia,84,408,0,0,0,146,133,24,171,73,14,234,69,10,9,3,2,1,0
Massachusetts,96,415,0,0,0,173,111,29,287,105,24,204,91,9,9,7,2,1,0
Tennessee,123,415,0,1,34,305,80,51,156,109,13,280,81,12,13,7,3,1,0
Idaho,116,510,1,1,29,162,91,27,279,79,23,192,131,8,11,2,3,3,1
Delaware,105,415,1,0,0,150,106,25,293,123,24,250,65,11,10,7,2,3,0
Virginia,80,415,0,0,0,197,114,33,206,119,17,163,109,7,11,4,3,1,0
Montana,157,408,0,0,0,240,67,40,153,98,13,249,72,11,10,6,2,2,0
Idaho,67,510,0,1,30,186,117,31,286,76,24,164,113,7,12,3,3,2,0
Maryland,79,415,0,1,17,236,95,40,263,56,22,259,107,11,12,4,3,1,0
Mississippi,76,408,0,0,0,173,93,29,131,80,11,170,104,7,5,3,1,0,0
Ohio,94,415,0,0,0,181,135,30,182,108,15,180,103,8,6,2,1,0,0
Arkansas,109,510,0,0,0,175,125,29,250,87,21,289,74,13,9,9,2,1,0
Arizona,138,415,0,0,0,87,112,14,266,107,22,214,104,9,9,10,2,2,0
South Carolina,73,415,0,0,0,203,45,34,141,87,12,200,71,9,8,6,2,0,0
Kentucky,21,415,0,0,0,92,95,15,161,70,13,285,78,12,11,3,3,5,1
